Day,Time Block,Task Type,Task Description,Target Page
Wednesday,4:00-4:30,Prospect Logging,Update all statuses in task sheet.,—
Wednesday,4:30-5:00,Planning,Queue Thursday targets. Review Tier 3 backlog.,—
Thursday,9:00-9:15,Review,Handle responses. Prioritize any directory approvals needing profile completion.,—
Thursday,9:15-10:00,Prospecting,"Search 10 targets: '.gov relocation vehicle', 'association moving resources', 'chamber of commerce auto transport'. Log all.",Tier 3 pages
Thursday,10:00-10:30,Outreach Email #1,Email parkslopeparents.com — Pitch listing on Moving Resources page.,https://rapidautoshipping.com/state-to-state/new-york-to-florida
Thursday,10:30-11:00,Outreach Email #2,Outreach to competitor-replicated site #1 from Wednesday's research.,varies
Thursday,11:00-11:30,Outreach Email #3,Outreach to competitor-replicated site #2.,varies
Thursday,11:30-12:00,Outreach Email #4,Outreach to competitor-replicated site #3.,varies
Thursday,12:00-1:00,LUNCH,—,—
Thursday,1:00-1:30,Outreach Email #5,Outreach to competitor-replicated site #4.,varies
Thursday,1:30-2:00,Follow-up #1,"Follow up on Wed directory submissions (dnb, ttnews, feedspot).",All
Thursday,2:00-2:30,Follow-up #2,Follow up on all resource page outreach.,All
Thursday,2:30-3:00,Follow-up #3,Final push on any prospects going cold.,All
Thursday,3:00-3:30,Competitor Replication,Cross-reference all 4 competitor backlink lists. Identify highest-priority 10 sites for next week.,All
Thursday,3:30-4:00,Directory Verification,Check all submitted directories: are profiles live? Complete any incomplete profiles.,All
Thursday,4:00-4:30,Prospect Logging,Update all statuses.,—
Thursday,4:30-5:00,Planning,Queue Friday targets. Prepare verification list.,—
Friday,9:00-9:15,Review,Final review of all week's activity.,—
Friday,9:15-10:00,Prospecting,Search 10 new targets from any category that's underrepresented this week. Focus on filling Tier gaps.,varies
Friday,10:00-10:30,Outreach Email #1,Outreach to highest-priority new prospect found this week.,varies
Friday,10:30-11:00,Outreach Email #2,Outreach to second-highest priority new prospect.,varies
Friday,11:00-11:30,Outreach Email #3,Re-pitch any soft rejections with modified angle.,varies
Friday,11:30-12:00,Outreach Email #4,Outreach to competitor-replicated site #5 from Thursday.,varies
Friday,12:00-1:00,LUNCH,—,—
Friday,1:00-1:30,Outreach Email #5,Final outreach of the week — best remaining prospect.,varies
Friday,1:30-2:00,Follow-up #1,Final follow-ups for all outstanding threads.,All
Friday,2:00-2:30,Follow-up #2,Check all directory submission statuses. Complete any pending profiles.,All
Friday,2:30-3:00,Follow-up #3,Verify any resource page links confirmed this week.,All
Friday,3:00-4:00,Verification,"FULL LINK VERIFICATION: Visit every 'Live' link URL. Confirm: link exists, correct anchor, dofollow status. Screenshot each. Update link_verification_template.csv.",All
Friday,4:00-5:00,Weekly Report,"Compile weekly metrics: outreach sent, responses, links live, links verified. Update backlink_task_sheet.csv. Write summary for team. Plan next week priorities.",—
