Day,Time Block,Task Type,Task Description,Target Page
Tuesday,1:00-1:30,Outreach Email #5,Pitch pods.com resource center — Corporate partnership inquiry for auto transport listing,https://rapidautoshipping.com/
Tuesday,1:30-2:00,Follow-up #1,Follow up on Monday's emails,All
Tuesday,2:00-2:30,Follow-up #2,Follow up on competitor gap emails from last week,All
Tuesday,2:30-3:00,Follow-up #3,Re-send modified pitch to any soft rejections,All
Tuesday,3:00-3:30,Directory #1,Submit to a1autotransport.com directory,https://rapidautoshipping.com/
Tuesday,3:30-4:00,Directory #2,Submit to movecars.com,https://rapidautoshipping.com/
Tuesday,4:00-4:30,Directory #3,Submit to automotive-fleet.com fleet directory,https://rapidautoshipping.com/
Tuesday,4:30-5:00,Admin,"Update tracking. Competitor check: run Sherpa through Ahrefs, find 5 new sites.",
Wednesday,9:00-10:00,Prospect,"Find 10 niche edit targets: search 'state to state car shipping' articles, 'moving to another state vehicle', 'cross country auto transport guide'",https://rapidautoshipping.comRoute pages
Wednesday,10:00-10:30,Outreach Email #1,Email usnews.com automotive editorial — Submit for car shipping rankings,https://rapidautoshipping.com/
Wednesday,10:30-11:00,Outreach Email #2,Email cartalk.com — Request listing in car shipping guide,https://rapidautoshipping.com/
Wednesday,11:00-11:30,Outreach Email #3,Email freightwaves.com checkpoint — Submit for review,https://rapidautoshipping.com/
Wednesday,11:30-12:00,Outreach Email #4,Email automoblog.com — Pitch for individual company review,https://rapidautoshipping.com/
Wednesday,12:00-1:00,LUNCH,,
Wednesday,1:00-1:30,Outreach Email #5,Pitch relocationresources.org — Request listing in national guide,https://rapidautoshipping.com/state-to-state/california-to-michigan
Wednesday,1:30-2:00,Follow-up #1,Follow up on Mon/Tue niche edit pitches,All
Wednesday,2:00-2:30,Follow-up #2,Follow up on directory submissions (check status),All
Wednesday,2:30-3:00,Follow-up #3,Re-pitch to any resource pages that didn't respond,All
Wednesday,3:00-3:30,Resource Page #1,Pitch wmcmovers.com — Washington Movers Conference resources,https://rapidautoshipping.com/
Wednesday,3:30-4:00,Resource Page #2,Pitch pcsgrades.com — Military PCS vehicle shipping content,https://rapidautoshipping.com/military-auto-shipping
Wednesday,4:00-4:30,Resource Page #3,Pitch shipacardirect.com resources page,https://rapidautoshipping.com/
Wednesday,4:30-5:00,Admin,"Update tracking. Competitor check: run AmeriFreight, find 5 new sites.",
Thursday,9:00-10:00,Prospect,Find 10 targets from competitor backlink data collected Mon-Wed. Cross-reference all 3 competitor analyses.,All
Thursday,10:00-10:30,Outreach Email #1,Email agoyu.com — Submit for comparison platform listing,https://rapidautoshipping.com/
Thursday,10:30-11:00,Outreach Email #2,Replicate competitor link #1 from research,varies
Thursday,11:00-11:30,Outreach Email #3,Replicate competitor link #2 from research,varies
Thursday,11:30-12:00,Outreach Email #4,Replicate competitor link #3 from research,varies
Thursday,12:00-1:00,LUNCH,,
Thursday,1:00-1:30,Outreach Email #5,Replicate competitor link #4 from research,varies
Thursday,1:30-2:00,Follow-up #1,Follow up on all outstanding niche edits,All
Thursday,2:00-2:30,Follow-up #2,Follow up on resource page pitches,All
Thursday,2:30-3:00,Follow-up #3,Follow up on editorial review submissions,All
Thursday,3:00-3:30,Directory #1,Submit to dnb.com — Dun & Bradstreet profile,https://rapidautoshipping.com/
Thursday,3:30-4:00,Directory #2,Submit to ttnews.com — Transport Topics directory,https://rapidautoshipping.com/
Thursday,4:00-4:30,Directory #3,Submit to feedspot.com — Auto shipping blogs list,https://rapidautoshipping.com/
Thursday,4:30-5:00,Admin,"Update tracking. Competitor check: run AAS, find 5 new sites.",
Friday,9:00-10:00,Prospect,"Find 10 new targets: .edu relocation resources, .gov moving guides, industry association resource pages",All
Friday,10:00-10:30,Outreach Email #1,Replicate competitor link #5 from Thursday's research,varies
Friday,10:30-11:00,Outreach Email #2,Pitch any new high-value target found today,varies
Friday,11:00-11:30,Outreach Email #3,Re-pitch modified angle to best prospect that said no this week,varies
Friday,11:30-12:00,Outreach Email #4,Pitch new .edu or .gov resource page,varies
Friday,12:00-1:00,LUNCH,,
Friday,1:00-1:30,Outreach Email #5,Final outreach of the week — highest priority remaining target,varies
Friday,1:30-2:00,Follow-up #1,Final follow-ups for the week — all outstanding,All
Friday,2:00-2:30,Follow-up #2,Check all directory submission statuses,All
Friday,2:30-3:00,Follow-up #3,Verify any live links that were confirmed this week,All
Friday,3:00-4:00,VERIFICATION,"Run link verification: check all 'Live' links still exist, screenshot, check DA/DR",All
Friday,4:00-5:00,Weekly Review,"Compile weekly report: emails sent, responses, links earned, links verified. Update master sheet. Plan next week's priority targets.",
