SECTION,Sub-Section,Item,Details,Priority,Notes
,Niche,maxrealestateexposure.com,Real estate content / AS 25 / links to shipacardirect,MEDIUM,Pitch relocation content
,Niche,usnews.com,News/reviews / AS 20 / shipacardirect + shipyourcarnow,HIGH,Already in prospect list
,Niche,thcauction.com,Auction site / AS 14 / usacarship + shipacardirect,MEDIUM,Explore shipping partner listing
,,,,,
,50 REPLICABLE BACKLINK OPPORTUNITIES,,,,,
,Replicable #,1. bbb.org,BBB accreditation profile — all 4 competitors have it,CRITICAL,Self-service application process
,Replicable #,2. movecars.com,Car transport directory profile — all 4 competitors listed,CRITICAL,Submit company profile
,Replicable #,3. transportreviews.com,Claim/create company review profile,CRITICAL,Self-service submission
,Replicable #,4. consumeraffairs.com,Apply for accredited business profile,CRITICAL,Application process
,Replicable #,5. yellowpages.com,Create business listing,HIGH,Self-service
,Replicable #,6. zoominfo.com,Claim company profile,HIGH,Self-service claim
,Replicable #,7. crunchbase.com,Create company profile,HIGH,Free tier available
,Replicable #,8. dnb.com,Dun & Bradstreet listing,HIGH,Self-service
,Replicable #,9. superpages.com,Business directory listing,MEDIUM,Self-service
,Replicable #,10. dexknows.com,Business directory listing,MEDIUM,Self-service
,Replicable #,11. scam-detector.com,Submit for trust review,HIGH,All 4 competitors listed
,Replicable #,12. owler.com,Claim company profile,MEDIUM,Free account
,Replicable #,13. a1autotransport.com,Industry directory submission,HIGH,Contact directly
,Replicable #,14. vehicletransportreviews.com,Submit for company review,HIGH,Self-service
,Replicable #,15. cartalk.com,Pitch inclusion in shipping editorial,HIGH,Editorial outreach
,Replicable #,16. usnews.com,Submit for car shipping rankings,HIGH,Editorial outreach
,Replicable #,17. longdistancetowing.com,Partner listing,HIGH,Contact form
,Replicable #,18. prnewswire.com,Distribute press release,HIGH,Paid service
,Replicable #,19. prweb.com,Distribute press release,HIGH,Paid service
,Replicable #,20. einpresswire.com,Budget press release,MEDIUM,Paid service
,Replicable #,21. carconference.com,Industry event sponsorship/listing,MEDIUM,Contact organizers
,Replicable #,22. worktruckex.com,Industry event listing,MEDIUM,Contact organizers
,Replicable #,23. maxrealestateexposure.com,Relocation resource link,MEDIUM,Outreach to editor
,Replicable #,24. thcauction.com,Auction shipping partner,MEDIUM,Partnership pitch
,Replicable #,25. move.org,Best car shipping review — all 4 competitors,HIGH,Editorial submission
,Replicable #,26. cars.com,Best car shipping editorial,HIGH,Editorial submission
,Replicable #,27. freightwaves.com,Car shipping review editorial,HIGH,Editorial outreach
,Replicable #,28. movebuddha.com,Car shipping guide inclusion,HIGH,editor@movebuddha.com
,Replicable #,29. automoblog.com,Company review listing,HIGH,Editorial contact
,Replicable #,30. retirementliving.com,Car shipping review page,MEDIUM,Editorial team
,Replicable #,31. screened.com,Best transport companies article,HIGH,Blog editorial
,Replicable #,32. citizenshipper.com,Review article inclusion,HIGH,Blog editorial
,Replicable #,33. agoyu.com,Moving comparison platform,HIGH,Self-service submission
,Replicable #,34. jackcooper.com,Top 10 car shipping article,HIGH,Blog editorial
,Replicable #,35. extraspace.com,How to Ship Your Car article,MEDIUM,Blog team
,Replicable #,36. arcrelocation.com,5 Best Car Transport article,MEDIUM,Contact form
,Replicable #,37. allaroundmoving.com,Guest post placement,HIGH,info@allaroundmoving.com
,Replicable #,38. 123relocation.com,Relocation guide placement,HIGH,Submission form
,Replicable #,39. connect.moversville.com,Industry newsletter placement,HIGH,Guidelines page
,Replicable #,40. pods.com,Resource center partner listing,HIGH,Corporate partnerships
,Replicable #,41. relocationresources.org,National relocation guide,HIGH,Contact form
,Replicable #,42. colonialvanlines.com,Auto transport guide inclusion,HIGH,Blog team
,Replicable #,43. pcsgrades.com,Military relocation resource,MEDIUM,Sponsored content
,Replicable #,44. parkslopeparents.com,Moving resources page,MEDIUM,Contact form
,Replicable #,45. ioscm.com,Supply chain publication,HIGH,kimberley.jayne@ioscm.com
,Replicable #,46. crestnetwork.com,Real estate professional network,MEDIUM,Contact form
,Replicable #,47. fastexpert.com,Real estate agent resource,MEDIUM,Contact form
,Replicable #,48. automotive-fleet.com,Fleet directory listing,MEDIUM,Directory submission
,Replicable #,49. ttnews.com,Transport Topics directory,MEDIUM,Freight directory
,Replicable #,50. feedspot.com,Auto shipping blog directory,MEDIUM,Self-service submission
,,,,,
SECTION 4 — LINK BUILDING STRATEGIES,,,,,
,Strategy,1. Competitor Backlink Replication,"Replicate links from domains linking to 2+ competitors. Focus on directories / profiles / review sites where submission is self-service. No outreach needed for many.",Easy,High scalability
,Strategy Detail,Difficulty,Easy — most are self-service profile creation or submission forms,,
,Strategy Detail,Authority Potential,Medium-High — BBB (DR 93) / ConsumerAffairs (DR 86) / DNB (DR 93) down to DR 40+ directories,,
,Strategy Detail,Time Required,1-2 hours per directory/profile submission,,
,Strategy Detail,Scalability,HIGH — 50+ identified opportunities; can find more with expanded competitor research,,
,,,,,
,Strategy,2. Niche Edits on Existing Articles,"Identify articles about car shipping / auto transport / moving that already exist and pitch adding Rapid Auto Shipping as a recommended company. Target pages that already list competitors.",Medium,Highest authority potential
,Strategy Detail,Difficulty,Medium — requires personalized outreach and negotiation,,
,Strategy Detail,Authority Potential,"Very High — DR 70-93 sites like usnews / cars.com / move.org / cartalk.com",,"These are the links that actually move rankings"
,Strategy Detail,Time Required,30-45 min per pitch including research and email drafting,,
,Strategy Detail,Scalability,MEDIUM — limited by editorial response rates (expect 5-15% success rate),,
,,,,,
,Strategy,3. Automotive Directories,"Submit to every auto transport / car shipping / vehicle logistics directory. These are the easiest wins.",Easy,Medium authority
,Strategy Detail,Difficulty,Easy — fill out forms,,
,Strategy Detail,Authority Potential,Medium — DR 40-62 typically,,
,Strategy Detail,Time Required,30-60 min per submission,,
,Strategy Detail,Scalability,MEDIUM — finite number of niche directories (20-30 total),,
,,,,,
,Strategy,4. Logistics & Transportation Directories,"Submit to freight / trucking / logistics directories. Competitors use these.",Easy,Medium authority
,Strategy Detail,Difficulty,Easy — form submissions,,
,Strategy Detail,Authority Potential,Medium — DR 40-71,,
,Strategy Detail,Time Required,30-60 min per submission,,
,Strategy Detail,Scalability,MEDIUM — 15-25 relevant directories,,
,,,,,
,Strategy,5. Business Citation Websites,"Create consistent NAP (Name Address Phone) citations on major business directories. Builds trust signals and generates dofollow/nofollow backlinks.",Easy,Medium authority
,Strategy Detail,Difficulty,Easy — self-service,,
,Strategy Detail,Authority Potential,Medium — DR 15-93 (BBB is DR 93),,
,Strategy Detail,Time Required,15-30 min per citation,,
,Strategy Detail,Scalability,"HIGH — 50-100+ citation sites available (Yelp / Manta / Hotfrog / ChamberOfCommerce.com / etc.)",,
,,,,,
,Strategy,6. Relocation Resource Pages,"Pitch Rapid Auto Shipping as a resource on relocation guide pages. Target real estate / military relocation / moving company resource sections.",Medium,High authority
,Strategy Detail,Difficulty,Medium — requires outreach,,
,Strategy Detail,Authority Potential,High — DR 46-76,,
,Strategy Detail,Time Required,30-45 min per pitch,,
,Strategy Detail,Scalability,"MEDIUM — 20-40 relocation resource pages exist nationally",,
,,,,,
,Strategy,7. Company Profile Listings,"Create profiles on business intelligence platforms (ZoomInfo / Crunchbase / Owler / Glassdoor / LinkedIn Company Page). These link back to your site.",Easy,Medium authority
,Strategy Detail,Difficulty,Easy — self-service claim/create,,
,Strategy Detail,Authority Potential,Medium — DR 9-93,,
,Strategy Detail,Time Required,15-30 min per profile,,
,Strategy Detail,Scalability,LOW-MEDIUM — 10-15 major platforms,,
,,,,,
,Strategy,8. Industry Event & Conference Listings,"Get listed as a sponsor / attendee / vendor on industry event pages. shipyourcarnow.com has links from carconference.com and worktruckex.com.",Medium-Hard,High authority
,Strategy Detail,Difficulty,Medium-Hard — requires sponsorship investment or attendance,,
,Strategy Detail,Authority Potential,High — DR 50-65,,
,Strategy Detail,Time Required,Variable — depends on event cycle,,
,Strategy Detail,Scalability,LOW — 5-10 relevant events per year,,
,,,,,
,Strategy,9. Press Release Distribution,"Distribute newsworthy releases via PR Newswire / PRWeb / EINPresswire. Generates media pickup and brand mention links.",Medium,High authority
,Strategy Detail,Difficulty,Medium — requires newsworthy content and budget ($100-500/release),,
,Strategy Detail,Authority Potential,High — DR 71-91,,
,Strategy Detail,Time Required,2-4 hours per release including drafting,,
,Strategy Detail,Scalability,"MEDIUM — 1-2 per month is sustainable",,
,,,,,
,Strategy,10. Local Business Directories (Per-State),"Submit to state-specific business directories and local chamber of commerce sites. Link directly to state pages.",Easy-Medium,Medium authority
,Strategy Detail,Difficulty,Easy-Medium — some require verification,,
,Strategy Detail,Authority Potential,Medium — DR 20-50 typically,,
,Strategy Detail,Time Required,20-40 min per submission,,
,Strategy Detail,Scalability,"HIGH — every state has 3-5 local directories",,
,,,,,
SECTION 5 — NICHE EDIT STRATEGY,,,,,
,Overview,What are Niche Edits,"Inserting your link into an existing published article on another website. Not guest posting — you're getting added to content that already ranks and has authority.",,
,Overview,Why They Work for Commercial Pages,"Existing articles about 'how to ship a car' or 'best car shipping companies' already have topical relevance and authority. Adding Rapid to these pages passes direct relevant link equity to your commercial pages.",,
,,,,,
,TARGET ARTICLE CATEGORIES,,,,,
,Category,1. 'Best Car Shipping Companies' Lists,"Sites like move.org / cars.com / usnews.com / cartalk.com already rank these. All 4 competitors are listed. Rapid should be added.",CRITICAL,"Link to homepage or /services/car-shipping-services with anchor 'Rapid Auto Shipping' or 'car shipping company'"
,Category,2. 'How to Ship a Car' Guides,"Sites like movebuddha.com / extraspace.com / colonialvanlines.com have comprehensive guides. Pitch adding Rapid as a recommended provider.",HIGH,"Link to state-to-state pages with geographic anchors like 'California to Michigan auto transport'"
,Category,3. Moving to a New State Articles,"Relocation-focused content on real estate sites / retirement sites / military PCS sites. These naturally mention vehicle shipping.",HIGH,"Link directly to state pages — e.g. an article about 'Moving to Florida' links to /states/florida"
,Category,4. Vehicle Relocation Guides,"Auto-specific content about transporting cars for relocation / military moves / snowbird seasonal transport.",MEDIUM,"Link to service pages like /snowbird-car-transport-service or /military-auto-shipping"
,Category,5. Car Ownership & Buying Guides,"Articles about buying cars online / at auction / across state lines. These mention needing transport.",MEDIUM,"Link to /services/auto-auction-shipping or /services/transporting-cars-for-dealerships"
,Category,6. Long-Distance Moving Guides,"Comprehensive moving guides on sites like pods.com / allaroundmoving.com that cover all aspects of relocation.",MEDIUM,"Link to /services/ship-car-to-another-state or specific route pages"
,,,,,
,HOW TO POINT NICHE EDITS TO STATE/SERVICE PAGES,,,,,
,Method,Match article topic to target page,"Article about 'moving from California' → link to /states/california. Article about 'best car shippers' → link to homepage. Article about 'car shipping costs' → link to /services/car-shipping-calculator.",,
,Method,Use geographic anchor text naturally,"In an article about 'moving to Texas from California' insert: 'Companies like Rapid Auto Shipping offer [Texas to California car shipping](url) with door-to-door service.'",,
,Method,Rotate target pages across edits,"Don't send all niche edits to homepage. Distribute: 40% route pages / 30% homepage / 20% service pages / 10% state pages",,
,,,,,
,REALISTIC MONTHLY ACQUISITION,,,,,
,Estimate,Outreach volume,50-60 niche edit pitches per month (2 agents combined),,
,Estimate,Response rate,15-25% response rate is realistic for well-targeted pitches,,
,Estimate,Conversion rate,5-10% of pitches result in a placed link,,
,Estimate,Monthly niche edits placed,3-6 per month,,
,Estimate,Annual projection,36-72 niche edits per year,,
,Estimate,Quality breakdown,"1-2 high authority (DR 60+) / 2-3 medium authority (DR 40-60) / 1-2 lower authority (DR 25-40) per month",,
,,,,,
SECTION 6 — TWO AGENT WORKFLOW (5-DAY WEEK),,,,,
,PERSON A — ROLE,Focus,"Niche Edits + Guest Post Placements + Media Mentions + HARO",,Outreach-heavy role — strong email writing skills required
,PERSON B — ROLE,Focus,"Directories + Citations + Resource Pages + Competitor Replication + Verification",,Execution-heavy role — systematic and detail-oriented
,,,,,
,MONDAY — PERSON A,9:00-9:15,Review task sheet. Identify top 10 prospects for today from Tier 1 backlog.,,
,MONDAY — PERSON A,9:15-10:00,"Prospect discovery: Search for 10 new niche edit targets using queries like 'best car shipping companies 2026' / 'auto transport review' / 'how to ship a car guide'. Log domain + DA + contact.",,
,MONDAY — PERSON A,10:00-10:30,Outreach Email #1 — Pitch to high-authority niche edit target,,
,MONDAY — PERSON A,10:30-11:00,Outreach Email #2 — Pitch to second niche edit target,,
,MONDAY — PERSON A,11:00-11:30,Outreach Email #3 — Pitch with company stats and data,,
,MONDAY — PERSON A,11:30-12:00,Outreach Email #4 — Guest post placement negotiation,,
,MONDAY — PERSON A,12:00-1:00,LUNCH,,
,MONDAY — PERSON A,1:00-1:30,Outreach Email #5 — Guest post placement pitch,,
,MONDAY — PERSON A,1:30-2:30,"Follow-ups — 3 rounds: 3-5 day old threads / modify angle for non-responders / final attempt shorter emails",,
,MONDAY — PERSON A,2:30-3:30,HARO/Qwoted monitoring — respond to transport/moving/relocation queries,,
,MONDAY — PERSON A,3:30-4:00,Content coordination — send topic briefs to content team for accepted placements,,
,MONDAY — PERSON A,4:00-4:30,Prospect logging — update backlink_task_sheet.csv,,
,MONDAY — PERSON A,4:30-5:00,Planning — queue Tuesday targets,,
,,,,,
,MONDAY — PERSON B,9:00-9:15,Review task sheet. Prioritize directory and resource page submissions.,,
,MONDAY — PERSON B,9:15-10:00,"Prospect discovery: Search 10 resource pages using 'moving resources useful links' / 'relocation resources links' / 'car shipping inurl:resources'.",,
,MONDAY — PERSON B,10:00-11:30,"Directory submissions (3 profiles): Complete profile creation on priority directories with full company info / services / contact / reviews.",,
,MONDAY — PERSON B,11:30-12:00,Resource page outreach — pitch to partner listing or resource directory,,
,MONDAY — PERSON B,12:00-1:00,LUNCH,,
,MONDAY — PERSON B,1:00-1:30,Resource page outreach — second pitch,,
,MONDAY — PERSON B,1:30-2:30,"Follow-ups on pending directory submissions and resource page pitches (3 rounds)",,
,MONDAY — PERSON B,2:30-3:30,"Competitor replication — run 2 competitors through Ahrefs free checker / find 10 unique linking sites / add to prospect list",,
,MONDAY — PERSON B,3:30-4:00,Citation building — submit to 2-3 general business directories,,
,MONDAY — PERSON B,4:00-4:30,Prospect logging — update task sheet,,
,MONDAY — PERSON B,4:30-5:00,Planning — queue Tuesday priorities,,
,,,,,
,DAILY TARGETS SUMMARY,Person A — Daily Output,"5 outreach emails + 3-5 follow-ups + 1 HARO response + 10 prospects discovered",,25 new outreach emails per week
,DAILY TARGETS SUMMARY,Person B — Daily Output,"3 directory submissions + 2 resource page pitches + 2-3 citations + 10 competitor sites analyzed",,15 directories + 10 resource pitches + 12 citations per week
,DAILY TARGETS SUMMARY,Combined Weekly Output,"25 outreach emails + 15 directory submissions + 10 resource pitches + 12 citations + 50 prospects + 5 HARO responses + 20-25 follow-ups",,
,,,,,
,TUESDAY THROUGH FRIDAY,Pattern,"Same daily structure with rotating targets. Tuesday: Tier 1 continuation. Wednesday: Tier 2 targets begin. Thursday: competitor replication outreach + content team coordination. Friday: verification + weekly report + planning.",,
,,,,,
,FRIDAY SPECIFIC TASKS — BOTH AGENTS,3:00-4:00,"LINK VERIFICATION: Visit every 'Live' link URL. Confirm link exists / correct anchor / dofollow status. Screenshot each. Update verification template.",,
,FRIDAY SPECIFIC TASKS — BOTH AGENTS,4:00-5:00,"WEEKLY REPORT: Compile metrics — emails sent / responses received / placements secured / links live. Update task sheet. Plan next week priorities.",,
,,,,,
SECTION 7 — AUTOMATION OPPORTUNITIES,,,,,
,Automation,1. Competitor Backlink Scraping,"Use Ahrefs API or free checker + a script to automatically pull new backlinks from competitor domains weekly. Export to CSV and flag replicable opportunities.",HIGH,"Saves 3-4 hours/week of manual competitor research"
,Automation Detail,Tool Options,"Ahrefs API ($) / SEMrush API ($) / Free Ahrefs Backlink Checker (manual but free) / Python script with beautifulsoup for scraping free tools",,
,Automation Detail,What to automate,Weekly pull of new referring domains for all 4 competitors → deduplicate → filter out spam → flag domains with AS > 10,,
,,,,,
,Automation,2. Directory Discovery,"Script to search Google for auto transport directories / logistics directories / business directories using preset queries and extract results.",MEDIUM,"Saves 2-3 hours/week of manual prospecting"
,Automation Detail,Tool Options,"Python + Google Custom Search API / SerpAPI / manual Google dorking with saved queries",,
,Automation Detail,Queries to automate,"'auto transport directory submit' / 'car shipping company listing' / 'transportation business directory USA' / 'auto transport' inurl:submit",,
,,,,,
,Automation,3. Niche Edit Opportunity Collection,"Scrape Google for articles matching target topics (best car shipping / how to ship a car / moving guides). Extract domain / title / URL / contact info.",MEDIUM,"Saves 2-3 hours/week"
